TransactionDate,Representative,BioGuideID,ReportDate,Ticker,Transaction,Range,House,Amount,Party,last_modified
2016-10-26,SHELDON WHITEHOUSE,W000802,2016-11-07,WFC,SALE (FULL),8000.5,SENATE,1001.0,D,2023-08-28
2016-10-26,SHELDON WHITEHOUSE,W000802,2016-11-07,JPM,PURCHASE,8000.5,SENATE,1001.0,D,2023-08-28
2016-10-31,BRENDA LULENAR LAWRENCE,L000581,2016-12-16,FB,PURCHASE,8000.5,REPRESENTATIVES,1001.0,D,2023-11-16
2016-11-01,KATHY CASTOR,C001066,2017-01-11,AA,SALE,8000.5,REPRESENTATIVES,1001.0,D,2023-11-16
2016-11-01,KATHY CASTOR,C001066,2017-01-11,ARNC,PURCHASE,8000.5,REPRESENTATIVES,1001.0,D,2023-11-16
2016-11-01,DAVID E. PRICE,P000523,2016-12-22,ARNC,EXCHANGE,8000.5,REPRESENTATIVES,1001.0,D,2023-11-16
2016-11-02,RUBÉN HINOJOSA,H000636,2017-01-29,PEP,SALE,8000.5,REPRESENTATIVES,1001.0,D,2023-11-16
2016-11-02,RUBÉN HINOJOSA,H000636,2017-01-29,GOOG,SALE,8000.5,REPRESENTATIVES,1001.0,D,2023-11-16
2016-11-02,RUBÉN HINOJOSA,H000636,2017-01-29,SBUX,SALE,8000.5,REPRESENTATIVES,1001.0,D,2023-11-16
2016-11-02,RUBÉN HINOJOSA,H000636,2017-01-29,DIS,SALE,8000.5,REPRESENTATIVES,1001.0,D,2023-11-16
2016-11-02,RUBÉN HINOJOSA,H000636,2017-01-29,GE,SALE,8000.5,REPRESENTATIVES,1001.0,D,2023-11-16
2016-11-02,DAVID E. PRICE,P000523,2016-11-22,MMP,PURCHASE,8000.5,REPRESENTATIVES,1001.0,D,2023-11-16
2016-11-02,LOIS FRANKEL,F000462,2016-11-18,COTY,PURCHASE,8000.5,REPRESENTATIVES,1001.0,D,2023-11-16
2016-11-02,RUBÉN HINOJOSA,H000636,2017-01-29,DLX,SALE,8000.5,REPRESENTATIVES,1001.0,D,2023-11-16
2016-11-02,RUBÉN HINOJOSA,H000636,2017-01-29,LLY,SALE,8000.5,REPRESENTATIVES,1001.0,D,2023-11-16
2016-11-04,ALAN S. LOWENTHAL,L000579,2016-11-05,WLTW,SALE,8000.5,REPRESENTATIVES,1001.0,D,2023-11-16
2016-11-04,DAVID E. PRICE,P000523,2016-12-22,YUMC,EXCHANGE,8000.5,REPRESENTATIVES,1001.0,D,2023-11-16
2016-11-04,DEBBIE DINGELL,D000624,2016-11-10,COST,PURCHASE,8000.5,REPRESENTATIVES,1001.0,D,2023-11-16
2016-11-07,ALAN S. LOWENTHAL,L000579,2016-11-21,FB,PURCHASE,8000.5,REPRESENTATIVES,1001.0,D,2023-11-16
2016-11-07,MARC A. VEASEY,V000131,2017-08-11,BBVA,SALE,8000.5,REPRESENTATIVES,1001.0,D,2023-11-16
2016-11-08,THOMAS R. CARPER,C000174,2016-12-01,ASIX,SALE (FULL),8000.5,SENATE,1001.0,D,2023-08-28
2016-11-08,DEBBIE WASSERMAN SCHULTZ,W000797,2016-12-25,ANGO,SALE,8000.5,REPRESENTATIVES,1001.0,D,2023-11-16
2016-11-09,LOIS FRANKEL,F000462,2016-11-18,BEN,PURCHASE,8000.5,REPRESENTATIVES,1001.0,D,2023-11-16
2016-11-09,ALAN S. LOWENTHAL,L000579,2016-11-21,AAPL,PURCHASE,8000.5,REPRESENTATIVES,1001.0,D,2023-11-16
2016-11-10,ALAN S. LOWENTHAL,L000579,2016-11-21,SEE,PURCHASE,8000.5,REPRESENTATIVES,1001.0,D,2023-11-16
2016-11-11,ALAN S. LOWENTHAL,L000579,2016-11-21,AAPL,PURCHASE,8000.5,REPRESENTATIVES,1001.0,D,2023-11-16
2016-11-14,THOMAS R. CARPER,C000174,2016-12-01,SCCO,SALE (FULL),8000.5,SENATE,1001.0,D,2023-08-28
