Representative,BioGuideID,TransactionDate,Ticker,Transaction,Range,House,Amount,Party
Susie Lee,L000590,2020-10-19,LPLA,Purchase,"$1,001 - $15,000",Representatives,1001.0,D
Tom Malinowski,M001203,2020-10-16,AMRC,Sale,"$1,001 - $15,000",Representatives,1001.0,D
K. Michael Conaway,C001062,2020-10-16,CVX,Sale,"$15,001 - $50,000",Representatives,15001.0,R
Joe Courtney,C001069,2020-10-16,VWO,Purchase,"$1,001 - $15,000",Representatives,1001.0,D
Ron Wyden,W000779,2020-10-16,NVDA,Purchase,"$1,001 - $15,000",Senate,1001.0,D
Josh Gottheimer,G000583,2020-10-16,ALC,Purchase,"$1,001 - $15,000",Representatives,1001.0,D
Joe Courtney,C001069,2020-10-16,AAPL,Sale,"$1,001 - $15,000",Representatives,1001.0,D
Robert J. Wittman,W000804,2020-10-16,SCHW,Purchase,"$1,001 - $15,000",Representatives,1001.0,R
Josh Gottheimer,G000583,2020-10-16,CVX,Purchase,"$1,001 - $15,000",Representatives,1001.0,D
Joe Courtney,C001069,2020-10-16,VOO,Purchase,"$15,001 - $50,000",Representatives,15001.0,D
Josh Gottheimer,G000583,2020-10-16,BMRN,Purchase,"$1,001 - $15,000",Representatives,1001.0,D
K. Michael Conaway,C001062,2020-10-16,AAPL,Purchase,"$15,001 - $50,000",Representatives,15001.0,R
Mark Green,G000590,2020-10-16,ENBL,Sale,"$15,001 - $50,000",Representatives,15001.0,R
Joe Courtney,C001069,2020-10-16,GOVT,Purchase,"$1,001 - $15,000",Representatives,1001.0,D
Ron Wyden,W000779,2020-10-16,NVDA,Purchase,"$1,001 - $15,000",Senate,1001.0,D
Ron Wyden,W000779,2020-10-16,NVDA,Purchase,"$1,001 - $15,000",Senate,1001.0,D
K. Michael Conaway,C001062,2020-10-16,AAPL,Purchase,"$15,001 - $50,000",Representatives,15001.0,R
Kevin Hern,H001082,2020-10-16,JNJ,Purchase,"$1,001 - $15,000",Representatives,1001.0,R
Kevin Hern,H001082,2020-10-16,NEE,Purchase,"$1,001 - $15,000",Representatives,1001.0,R
Kevin Hern,H001082,2020-10-16,ITW,Purchase,"$1,001 - $15,000",Representatives,1001.0,R
K. Michael Conaway,C001062,2020-10-16,BX,Sale,"$15,001 - $50,000",Representatives,15001.0,R
Mark Green,G000590,2020-10-16,USAC,Purchase,"$15,001 - $50,000",Representatives,15001.0,R
Kevin Hern,H001082,2020-10-16,MMC,Purchase,"$1,001 - $15,000",Representatives,1001.0,R
Kevin Hern,H001082,2020-10-16,MCD,Purchase,"$1,001 - $15,000",Representatives,1001.0,R
Joe Courtney,C001069,2020-10-16,FLQL,Purchase,"$1,001 - $15,000",Representatives,1001.0,D
Josh Gottheimer,G000583,2020-10-16,ALGT,Purchase,"$1,001 - $15,000",Representatives,1001.0,D
Joe Courtney,C001069,2020-10-16,FLCB,Purchase,"$1,001 - $15,000",Representatives,1001.0,D
Tom Malinowski,M001203,2020-10-16,CMLFU,Purchase,"$1,001 - $15,000",Representatives,1001.0,D
Joe Courtney,C001069,2020-10-16,FLCO,Purchase,"$1,001 - $15,000",Representatives,1001.0,D
Josh Gottheimer,G000583,2020-10-16,SBCF,Purchase,"$1,001 - $15,000",Representatives,1001.0,D
Joe Courtney,C001069,2020-10-16,SPTM,Sale,"$1,001 - $15,000",Representatives,1001.0,D
Tom Malinowski,M001203,2020-10-16,PCPL,Purchase,"$15,001 - $50,000",Representatives,15001.0,D
Josh Gottheimer,G000583,2020-10-16,WBS,Purchase,"$1,001 - $15,000",Representatives,1001.0,D
Josh Gottheimer,G000583,2020-10-16,PSX,Purchase,"$1,001 - $15,000",Representatives,1001.0,D
Robert J. Wittman,W000804,2020-10-16,AXP,Purchase,"$1,001 - $15,000",Representatives,1001.0,R
Josh Gottheimer,G000583,2020-10-16,CVET,Purchase,"$1,001 - $15,000",Representatives,1001.0,D
Josh Gottheimer,G000583,2020-10-16,LUKOY,Purchase,"$1,001 - $15,000",Representatives,1001.0,D
K. Michael Conaway,C001062,2020-10-16,JNJ,Purchase,"$15,001 - $50,000",Representatives,15001.0,R
Kevin Hern,H001082,2020-10-16,BA,Purchase,"$1,001 - $15,000",Representatives,1001.0,R
Mark Green,G000590,2020-10-16,NGL,Purchase,"$1,001 - $15,000",Representatives,1001.0,R
Robert J. Wittman,W000804,2020-10-16,IFF,Purchase,"$1,001 - $15,000",Representatives,1001.0,R
Josh Gottheimer,G000583,2020-10-16,BEN,Purchase,"$1,001 - $15,000",Representatives,1001.0,D
K. Michael Conaway,C001062,2020-10-16,JNJ,Purchase,"$50,001 - $100,000",Representatives,50001.0,R
Alan S. Lowenthal,L000579,2020-10-16,OLED,Sale,$191.77,Representatives,191.77,D
Josh Gottheimer,G000583,2020-10-16,FLT,Purchase,"$1,001 - $15,000",Representatives,1001.0,D
Ron Wyden,W000779,2020-10-16,WDAY,Purchase,"$1,001 - $15,000",Senate,1001.0,D
Josh Gottheimer,G000583,2020-10-16,LYFT,Purchase,"$1,001 - $15,000",Representatives,1001.0,D
Josh Gottheimer,G000583,2020-10-16,CRY,Purchase,"$1,001 - $15,000",Representatives,1001.0,D
Josh Gottheimer,G000583,2020-10-16,HMN,Purchase,"$1,001 - $15,000",Representatives,1001.0,D
Josh Gottheimer,G000583,2020-10-16,CATY,Purchase,"$1,001 - $15,000",Representatives,1001.0,D
Josh Gottheimer,G000583,2020-10-16,BBVA,Purchase,"$1,001 - $15,000",Representatives,1001.0,D
Alan S. Lowenthal,L000579,2020-10-16,OLED,Sale,"$1,001 - $15,000",Representatives,1001.0,D
Josh Gottheimer,G000583,2020-10-16,HAE,Purchase,"$1,001 - $15,000",Representatives,1001.0,D
Josh Gottheimer,G000583,2020-10-16,EBSB,Purchase,"$1,001 - $15,000",Representatives,1001.0,D
Josh Gottheimer,G000583,2020-10-16,IART,Purchase,"$1,001 - $15,000",Representatives,1001.0,D
Josh Gottheimer,G000583,2020-10-16,ABCB,Purchase,"$1,001 - $15,000",Representatives,1001.0,D
Robert J. Wittman,W000804,2020-10-16,ANTM,Purchase,"$1,001 - $15,000",Representatives,1001.0,R
K. Michael Conaway,C001062,2020-10-16,VDC,Sale,"$15,001 - $50,000",Representatives,15001.0,R
Joe Courtney,C001069,2020-10-16,VEA,Purchase,"$1,001 - $15,000",Representatives,1001.0,D
Ron Wyden,W000779,2020-10-16,WDAY,Purchase,"$1,001 - $15,000",Senate,1001.0,D
Ron Wyden,W000779,2020-10-16,WDAY,Purchase,"$1,001 - $15,000",Senate,1001.0,D
Josh Gottheimer,G000583,2020-10-16,PPBI,Purchase,"$1,001 - $15,000",Representatives,1001.0,D
Josh Gottheimer,G000583,2020-10-16,CVNA,Purchase,"$1,001 - $15,000",Representatives,1001.0,D
Josh Gottheimer,G000583,2020-10-15,PRA,Sale,"$1,001 - $15,000",Representatives,1001.0,D
John A. Yarmuth,Y000062,2020-10-15,FB,Purchase,"$1,001 - $15,000",Representatives,1001.0,D
Alan S. Lowenthal,L000579,2020-10-15,OLED,Sale,$192.66,Representatives,192.66,D
Alan S. Lowenthal,L000579,2020-10-15,OLED,Sale,"$1,001 - $15,000",Representatives,1001.0,D
Mark Green,G000590,2020-10-15,NGL,Purchase,"$100,001 - $250,000",Representatives,100001.0,R
John A. Yarmuth,Y000062,2020-10-15,MNST,Purchase,"$1,001 - $15,000",Representatives,1001.0,D
Josh Gottheimer,G000583,2020-10-15,BOOT,Purchase,"$1,001 - $15,000",Representatives,1001.0,D
Peter J. Visclosky,V000108,2020-10-15,CMCSA,Sale,"$1,001 - $15,000",Representatives,1001.0,D
Tom Malinowski,M001203,2020-10-15,CMLFU,Purchase,"$1,001 - $15,000",Representatives,1001.0,D
Alan S. Lowenthal,L000579,2020-10-15,JPM,Sale,"$15,001 - $50,000",Representatives,15001.0,D
Alan S. Lowenthal,L000579,2020-10-15,TJX,Sale,$344.01,Representatives,344.01,D
Alan S. Lowenthal,L000579,2020-10-15,TJX,Sale,"$1,001 - $15,000",Representatives,1001.0,D
Alan S. Lowenthal,L000579,2020-10-15,JPM,Sale,$913.23,Representatives,913.23,D
Greg Gianforte,G000584,2020-10-15,DORM,Sale,"$100,001",Representatives,100001.0,R
Lois Frankel,F000462,2020-10-14,PFE,Sale,"$1,001 - $15,000",Representatives,1001.0,D
Dwight Evans,E000296,2020-10-14,HASI,Sale,"$1,001 - $15,000",Representatives,1001.0,D
Dwight Evans,E000296,2020-10-14,ARKK,Sale,"$1,001 - $15,000",Representatives,1001.0,D
Pat Roberts,R000307,2020-10-13,BBY,Sale (Full),"$1,001 - $15,000",Senate,1001.0,R
Greg Gianforte,G000584,2020-10-13,PEGA,Sale,"$1,001 - $15,000",Representatives,1001.0,R
Greg Gianforte,G000584,2020-10-13,PAYC,Sale,"$1,001 - $15,000",Representatives,1001.0,R
Greg Gianforte,G000584,2020-10-13,CHE,Sale,"$1,001 - $15,000",Representatives,1001.0,R
Greg Gianforte,G000584,2020-10-13,FAST,Sale,"$1,001 - $15,000",Representatives,1001.0,R
Greg Gianforte,G000584,2020-10-13,TECH,Sale,"$1,001 - $15,000",Representatives,1001.0,R
Greg Gianforte,G000584,2020-10-13,ANSS,Sale,"$15,001 - $50,000",Representatives,15001.0,R
Debbie Dingell,D000624,2020-10-13,NVDA,Sale,"$50,001 - $100,000",Representatives,50001.0,D
Greg Gianforte,G000584,2020-10-13,NEOG,Sale,"$1,001 - $15,000",Representatives,1001.0,R
Debbie Dingell,D000624,2020-10-13,CARR,Sale,"$15,001 - $50,000",Representatives,15001.0,D
Tom Malinowski,M001203,2020-10-13,EPD,Purchase,"$15,001 - $50,000",Representatives,15001.0,D
Debbie Wasserman Schultz,W000797,2020-10-13,WSTL,Purchase,"$1,001 - $15,000",Representatives,1001.0,D
Greg Gianforte,G000584,2020-10-13,RBA,Sale,"$1,001 - $15,000",Representatives,1001.0,R
Greg Gianforte,G000584,2020-10-13,CSGP,Sale,"$1,001 - $15,000",Representatives,1001.0,R
John Rutherford,R000609,2020-10-13,PSMMY,Purchase,"$1,001 - $15,000",Representatives,1001.0,R
Debbie Wasserman Schultz,W000797,2020-10-13,WSTL,Purchase,"$1,001 - $15,000",Representatives,1001.0,D
Debbie Wasserman Schultz,W000797,2020-10-13,WSTL,Purchase,"$1,001 - $15,000",Representatives,1001.0,D
Debbie Wasserman Schultz,W000797,2020-10-13,WSTL,Purchase,"$1,001 - $15,000",Representatives,1001.0,D
Greg Gianforte,G000584,2020-10-13,JKHY,Sale,"$1,001 - $15,000",Representatives,1001.0,R
Greg Gianforte,G000584,2020-10-13,LOPE,Sale,"$1,001 - $15,000",Representatives,1001.0,R
Pat Roberts,R000307,2020-10-13,NVAX,Sale (Full),"$1,001 - $15,000",Senate,1001.0,R
Tom Malinowski,M001203,2020-10-13,CMLF,Purchase,"$1,001 - $15,000",Representatives,1001.0,D
Greg Gianforte,G000584,2020-10-13,PCTY,Sale,"$1,001 - $15,000",Representatives,1001.0,R
Greg Gianforte,G000584,2020-10-13,AMED,Sale,"$1,001 - $15,000",Representatives,1001.0,R
Greg Gianforte,G000584,2020-10-13,TDOC,Sale,"$1,001 - $15,000",Representatives,1001.0,R
Greg Gianforte,G000584,2020-10-13,ROL,Sale,"$1,001 - $15,000",Representatives,1001.0,R
Greg Gianforte,G000584,2020-10-13,LII,Sale,"$1,001 - $15,000",Representatives,1001.0,R
Greg Gianforte,G000584,2020-10-13,VRSK,Sale,"$1,001 - $15,000",Representatives,1001.0,R
Gilbert Cisneros,C001123,2020-10-13,MTCH,Purchase,"$15,001 - $50,000",Representatives,15001.0,D
Alan S. Lowenthal,L000579,2020-10-13,RUN,Purchase,"$1,001 - $15,000",Representatives,1001.0,D
Debbie Dingell,D000624,2020-10-13,ABBV,Purchase,"$15,001 - $50,000",Representatives,15001.0,D
Greg Gianforte,G000584,2020-10-13,CGNX,Sale,"$1,001 - $15,000",Representatives,1001.0,R
Virginia Foxx,F000450,2020-10-12,MO,Purchase,"$1,001 - $15,000",Representatives,1001.0,R
Joe Courtney,C001069,2020-10-09,IHI,Purchase,"$1,001 - $15,000",Representatives,1001.0,D
John Curtis,C001114,2020-10-09,GOOGL,Sale,"$15,001 - $50,000",Representatives,15001.0,R
Joe Courtney,C001069,2020-10-09,ET,Sale,"$1,001 - $15,000",Representatives,1001.0,D
Gilbert Cisneros,C001123,2020-10-09,TT,Sale,"$1,001 - $15,000",Representatives,1001.0,D
Tom Malinowski,M001203,2020-10-09,CDNA,Sale,"$1,001 - $15,000",Representatives,1001.0,D
Joe Courtney,C001069,2020-10-09,BABA,Sale,"$15,001 - $50,000",Representatives,15001.0,D
Joe Courtney,C001069,2020-10-09,TLT,Purchase,"$1,001 - $15,000",Representatives,1001.0,D
Joe Courtney,C001069,2020-10-09,VIG,Sale,"$1,001 - $15,000",Representatives,1001.0,D
Joe Courtney,C001069,2020-10-09,IVV,Purchase,"$15,001 - $50,000",Representatives,15001.0,D
Joe Courtney,C001069,2020-10-09,DIV,Sale,"$1,001 - $15,000",Representatives,1001.0,D
John Curtis,C001114,2020-10-09,TEAM,Sale,"$1,001 - $15,000",Representatives,1001.0,R
Gilbert Cisneros,C001123,2020-10-09,IDXX,Sale,"$1,001 - $15,000",Representatives,1001.0,D
Joe Courtney,C001069,2020-10-09,BTZ,Sale,"$1,001 - $15,000",Representatives,1001.0,D
Gilbert Cisneros,C001123,2020-10-09,MTCH,Purchase,"$1,001 - $15,000",Representatives,1001.0,D
Joe Courtney,C001069,2020-10-09,USMV,Purchase,"$1,001 - $15,000",Representatives,1001.0,D
Joe Courtney,C001069,2020-10-09,IEFA,Purchase,"$1,001 - $15,000",Representatives,1001.0,D
John Curtis,C001114,2020-10-09,HASI,Sale,"$1,001 - $15,000",Representatives,1001.0,R
Joe Courtney,C001069,2020-10-09,IDV,Sale,"$1,001 - $15,000",Representatives,1001.0,D
Joe Courtney,C001069,2020-10-09,IEF,Purchase,"$1,001 - $15,000",Representatives,1001.0,D
Joe Courtney,C001069,2020-10-09,EVV,Sale,"$1,001 - $15,000",Representatives,1001.0,D
Joe Courtney,C001069,2020-10-09,EFG,Purchase,"$1,001 - $15,000",Representatives,1001.0,D
Austin Scott,S001189,2020-10-09,GE,Sale,"$1,001 - $15,000",Representatives,1001.0,R
Gilbert Cisneros,C001123,2020-10-09,MSCI,Sale,"$1,001 - $15,000",Representatives,1001.0,D
Gilbert Cisneros,C001123,2020-10-09,ROKU,Sale,"$1,001 - $15,000",Representatives,1001.0,D
Joe Courtney,C001069,2020-10-09,VLUE,Purchase,"$1,001 - $15,000",Representatives,1001.0,D
Austin Scott,S001189,2020-10-09,BE,Sale,"$1,001 - $15,000",Representatives,1001.0,R
Sheldon Whitehouse,W000802,2020-10-09,FTV,Exchange,"$1,001 - $15,000",Senate,1001.0,D
Virginia Foxx,F000450,2020-10-09,GSK,Purchase,"$1,001 - $15,000",Representatives,1001.0,R
Gilbert Cisneros,C001123,2020-10-09,EDU,Sale,"$1,001 - $15,000",Representatives,1001.0,D
Joe Courtney,C001069,2020-10-09,SRLN,Sale,"$1,001 - $15,000",Representatives,1001.0,D
Lloyd K. Smucker,S001199,2020-10-09,AAPL,Sale,"$15,001 - $50,000",Representatives,15001.0,R
Joe Courtney,C001069,2020-10-09,VTI,Sale,"$1,001 - $15,000",Representatives,1001.0,D
Joe Courtney,C001069,2020-10-09,IJR,Purchase,"$1,001 - $15,000",Representatives,1001.0,D
Joe Courtney,C001069,2020-10-09,ESGU,Purchase,"$1,001 - $15,000",Representatives,1001.0,D
Joe Courtney,C001069,2020-10-09,DSU,Sale,"$1,001 - $15,000",Representatives,1001.0,D
Joe Courtney,C001069,2020-10-09,XSOE,Purchase,"$1,001 - $15,000",Representatives,1001.0,D
Joe Courtney,C001069,2020-10-09,NTDOY,Sale,"$15,001 - $50,000",Representatives,15001.0,D
Joe Courtney,C001069,2020-10-09,PUTW,Sale,"$1,001 - $15,000",Representatives,1001.0,D
John Curtis,C001114,2020-10-09,AMZN,Sale,"$15,001 - $50,000",Representatives,15001.0,R
Greg Gianforte,G000584,2020-10-09,DORM,Sale,"$100,001 - $250,000",Representatives,100001.0,R
John Curtis,C001114,2020-10-09,MSFT,Sale,"$1,001 - $15,000",Representatives,1001.0,R
Joe Courtney,C001069,2020-10-09,F,Sale,"$1,001 - $15,000",Representatives,1001.0,D
Donald Sternoff Beyer Jr,B001292,2020-10-08,ROP,Sale,"$1,001 - $15,000",Representatives,1001.0,D
Donald Sternoff Beyer Jr,B001292,2020-10-08,TRNO,Sale,"$1,001 - $15,000",Representatives,1001.0,D
Josh Gottheimer,G000583,2020-10-08,AMGN,Sale,"$1,001 - $15,000",Representatives,1001.0,D
Greg Gianforte,G000584,2020-10-08,YNDX,Sale,"$100,001 - $250,000",Representatives,100001.0,R
